OBJECTID	NAME	TYPE	OSM_ID	COMMUNE	SECTION	E1000	N1000	GZD	GRID100K	MGRS
1350	Moyette	village	617433460	PETIT-GOAVE	TROU CANARI	18	33	18Q	YF	18Q YF 1833
70	MSF	hospital	48323076	DELMAS	VARREUX	82	56	18Q	YF	18Q YF 8256
275	MSF Hospital	hospital	615373689	PORT-AU-PRINCE	TURGEAU	84	51	18Q	YF	18Q YF 8451
22	MSF Hospital	hospital	615373689	PORT-AU-PRINCE	TURGEAU	84	51	18Q	YF	18Q YF 8451
274	MSF Hospital	hospital	615361448	DELMAS	ST. MARTIN	82	53	18Q	YF	18Q YF 8253
21	MSF Hospital	hospital	615361448	DELMAS	ST. MARTIN	82	53	18Q	YF	18Q YF 8253
432	Muncipal Office	public_building	616852042	LEOGANE	DESSSOURCES	49	48	18Q	YF	18Q YF 4948
1630	Musac	hamlet	617870799	JACMEL	LAVANEAU	51	20	18Q	YF	18Q YF 5120
1639	Musac	hamlet	617870829	JACMEL	LAVANEAU	50	20	18Q	YF	18Q YF 5020
266	Muscat	locality	614641551	KENSCOFF	NOUVELLE TOURAINE	86	33	18Q	YF	18Q YF 8633
56	Musée de l'Art Haitien	 	48285472	PORT-AU-PRINCE	MARTISSANT	79	51	18Q	YF	18Q YF 7951
8	Musee Nationale	 	48274611	PORT-AU-PRINCE	TURGEAU	82	50	18Q	YF	18Q YF 8250
136	Musseau	suburb	613677851	DELMAS	ST. MARTIN	86	50	18Q	YF	18Q YF 8650
1727	Nabonne	hamlet	617886036	AQUIN	FONDS DES BLANCS	92	27	18Q	XF	18Q XF 9227
1147	Nadine	hamlet	616813747	AQUIN	FLAMANT	90	15	18Q	XF	18Q XF 9015
866	Nan Abbé	hamlet	616680837	BELLE ANSE	PICHON	83	22	19Q	AA	19Q AA 8322
833	Nan Badaud	hamlet	616620850	CROIX-DES-BOUQUES	BELLE FONTAINE	15	30	18Q	ZF	18Q ZF 1530
1077	Nan Bambou	hamlet	616809440	JACMEL	LAVANEAU	53	18	18Q	YF	18Q YF 5318
1038	Nan Bayahone	hamlet	616782902	ANSE-A-GALET	PICMY	26	75	18Q	YF	18Q YF 2675
1035	Nan Bebe	hamlet	616782899	ANSE-A-GALET	PETITE ANSE	31	73	18Q	YF	18Q YF 3173
1081	Nan Benjamin	hamlet	616809470	JACMEL	LAVANEAU	55	19	18Q	YF	18Q YF 5519
788	Nan Bento	village	616584982	CHARDONNIERES	RANDEL	98	28	18Q	WF	18Q WF 9828
685	Nan Boguin	village	616390924	SAUT-D'EAU	MONTAGNE TERRIBLE	79	88	18Q	YF	18Q YF 7988
1011	Nan Bois de Chene	hamlet	616777888	ANSE-A-GALET	PETITE SOURCE	17	81	18Q	YF	18Q YF 1781
834	Nan Bombe	hamlet	616620855	CROIX-DES-BOUQUES	BELLE FONTAINE	16	33	18Q	ZF	18Q ZF 1633
1083	Nan Bondieu	hamlet	616810485	BAINET	TROU MAHOT	42	14	18Q	YF	18Q YF 4214
1448	Nan Bonhomme	village	617788000	GRAND-GOAVE	TETE A BOUF	36	33	18Q	YF	18Q YF 3633
1739	Nan Bouzin	hamlet	617889401	PETIT-GOAVE	BINO (PREMIERE PLAIN	18	36	18Q	YF	18Q YF 1836
1636	Nan Boyer	hamlet	617870817	LA VALLEE	LA VALLEE	48	23	18Q	YF	18Q YF 4823
1514	Nan Brulé	village	617832252	JACMEL	MONTAGNE LA VOUTE	61	25	18Q	YF	18Q YF 6125
758	Nan Cadet	hamlet	616582990	PORT-A-PIMENT	BALAIS	96	21	18Q	WF	18Q WF 9621
1496	Nan Cadet	village	617824772	LA VALLEE	LA VALLEE	40	19	18Q	YF	18Q YF 4019
1015	Nan Cafe	hamlet	616777894	ANSE-A-GALET	GRANDE SOURCE	12	80	18Q	YF	18Q YF 1280
978	Nan Calebasse	village	616722308	POINTE A RAQUETTE	POINTE A RAQUETTE	0	82	18Q	YF	18Q YF 0082
1764	Nan Campeche	hamlet	618009497	COTEAUX	DES PAS	0	18	18Q	XF	18Q XF 0018
1049	Nan Canne	hamlet	616782915	ANSE-A-GALET	PALMA	16	75	18Q	YF	18Q YF 1675
568	Nan Carrotte	village	615896933	CROIX-DES-BOUQUES	BELLE FONTAINE	3	34	18Q	ZF	18Q ZF 0334
716	Nan Casse	hamlet	616580205	LES ANGLAIS	VERONE	84	23	18Q	WF	18Q WF 8423
890	Nan Charlot	hamlet	616680872	THIOTTE	POT DE CHAMBRE	0	13	19Q	BA	19Q BA 0013
759	Nan Cirouel	hamlet	616582991	CHARDONNIERES	DEJOIE	93	21	18Q	WF	18Q WF 9321
1470	Nan Cirouelle	village	617809783	MIREBALAIS	SARAZIN	9	88	18Q	ZF	18Q ZF 0988
887	Nan Citerne	hamlet	616680867	THIOTTE	POT DE CHAMBRE	99	12	19Q	AA	19Q AA 9912
891	Nan Cochon	hamlet	616680875	THIOTTE	POT DE CHAMBRE	93	15	19Q	AA	19Q AA 9315
539	Nan Codastre	village	615854552	CROIX-DES-BOUQUES	PETIT BOIS	99	54	18Q	YF	18Q YF 9954
525	Nan Cofi	village	615830928	KENSCOFF	BELLE FONTAINE	92	33	18Q	YF	18Q YF 9233
1598	Nan Colon	hamlet	617863710	MARIGOT	CORAIL SOULT	79	23	18Q	YF	18Q YF 7923
908	Nan Coma	hamlet	616680927	GRAND GOSIER	COLLINE DES CHAINES	97	22	19Q	AA	19Q AA 9722
1200	Nan Contree	hamlet	617186780	FERRIER	BAS MARIBAJOUX	10	77	19Q	BB	19Q BB 1077
736	Nan Cosse	hamlet	616580500	LES ANGLAIS	COSSE	83	28	18Q	WF	18Q WF 8328
104	Nan Coucou	suburb	613526390	CARREFOUR	RIVIERE FROIDE	73	52	18Q	YF	18Q YF 7352
832	Nan Counouque	hamlet	616620849	BELLE ANSE	PICHON	14	27	18Q	ZF	18Q ZF 1427
478	Nan Criton	village	615597670	MARIGOT	FOND JEAN-NOEL	88	23	18Q	YF	18Q YF 8823
401	Nan Da	village	615143483	PETION-VILLE	ETANG DU JONC	81	45	18Q	YF	18Q YF 8145
787	Nan Dassier	village	616584980	CHARDONNIERES	RANDEL	98	26	18Q	WF	18Q WF 9826
353	Nan Diamant	village	614851738	BAINET	BAS DE GRIS GRIS	29	8	18Q	YF	18Q YF 2908
720	Nan Digue	hamlet	616580212	LES ANGLAIS	COSSE	83	25	18Q	WF	18Q WF 8325
1698	Nan Dix Huit	village	617881066	COTE-DE-FER	BOUCAN BELIER	18	20	18Q	YF	18Q YF 1820
754	Nan Dompté	village	616582986	PORT-A-PIMENT	PARICOT	97	20	18Q	WF	18Q WF 9720
701	Nan Doval	village	616512406	ANSE-A-GALET	PALMA	24	81	18Q	YF	18Q YF 2481
